Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y
-0.9912760476212253,0.005582427215732725,-0.9912760476212253,0.00007628467072533758,-0.9912760476212253,0.000013524388192528233
-0.9769561439612201,0.006765548789727884,-0.9769561439612201,0.00008478395094532493,-0.9769561439612201,0.000015214528737266555
-0.962636240301215,0.00740305131473608,-0.962636240301215,0.00009261243619922694,-0.962636240301215,0.000016447569576703446
-0.9483163366412097,0.007865625592208918,-0.9483163366412097,0.00009504961988359072,-0.9483163366412097,0.00001661935491647547
-0.9339964329812046,0.008086608490417408,-0.9339964329812046,0.0000968775558454091,-0.9339964329812046,0.00001661935491647547
-0.9196765293211994,0.008313799851096955,-0.9196765293211994,0.00009805904862052231,-0.9196765293211994,0.000017234856377283026
-0.9053566256611942,0.00842977802293815,-0.9053566256611942,0.00009959930795668166,-0.9053566256611942,0.000017264727992450854
-0.891036722001189,0.00842977802293815,-0.891036722001189,0.00009959930795668166,-0.891036722001189,0.000017749776458568057
-0.8767168183411839,0.008473685748018926,-0.8767168183411839,0.00009959930795668166,-0.8767168183411839,0.000017505572326661716
-0.8623969146811787,0.008591894340890254,-0.8623969146811787,0.00009959930795668166,-0.8623969146811787,0.00001793516259513931
-0.8480770110211735,0.00863664647239554,-0.8480770110211735,0.00009959930795668166,-0.8480770110211735,0.00001793516259513931
-0.8337571073611683,0.008925540099531509,-0.8337571073611683,0.00009959930795668166,-0.8337571073611683,0.00001793516259513931
-0.8194372037011631,0.008925540099531509,-0.8194372037011631,0.00010204349502162711,-0.8194372037011631,0.0000183435019651472
-0.805117300041158,0.009097190609513214,-0.805117300041158,0.00010346700992610654,-0.805117300041158,0.00001809112926715993
-0.7907973963811528,0.009160424112925988,-0.7907973963811528,0.00010346700992610654,-0.7907973963811528,0.000018631631929257032
-0.7764774927211475,0.009288212760828897,-0.7764774927211475,0.00010346700992610654,-0.7764774927211475,0.000018153895043968344
-0.7621575890611424,0.009450458345589751,-0.7621575890611424,0.00010472886592178559,-0.7621575890611424,0.000018567214411781217
-0.7478376854011373,0.009450458345589751,-0.7478376854011373,0.00010509221463964508,-0.7478376854011373,0.000018487005623091762
-0.733517781741132,0.00946683796887636,-0.733517781741132,0.00010346700992610654,-0.733517781741132,0.000017997387257615926
-0.7191978780811268,0.009817444393034003,-0.7191978780811268,0.00010346700992610654,-0.7191978780811268,0.000018407143329554478
-0.7048779744211217,0.009817444393034003,-0.7048779744211217,0.00010563960272696725,-0.7048779744211217,0.000018631631929257032
-0.6905580707611165,0.009954398526312355,-0.6905580707611165,0.00010711328362111196,-0.6905580707611165,0.000018663924448948284
-0.6762381671011113,0.010006247459065792,-0.6762381671011113,0.00010454766292912086,-0.6762381671011113,0.000018631631929257032
