GeV,Pmm,Pmt,Pms
100.0,4.335673304731294e-06,0.4811141344301976,0.4948452958131606,0.02839234603632262
119.83967935871743,3.0216473596299396e-06,0.42652677450260634,0.44042178995405606,0.13658422977768794
139.67935871743487,2.224368592794377e-06,0.4756794036985115,0.3680451567782316,0.1594679698459962
159.5190380761523,1.7020141869034923e-06,0.5654185612863691,0.42340752225586514,0.013906082210665298
179.35871743486973,1.3465796285580354e-06,0.5822385557107106,0.3060411561060376,0.11405744547183246
199.19839679358716,1.0915658235580012e-06,0.5429238526269514,0.3028441636670832,0.1563442507972195
219.03807615230463,9.027999314008535e-07,0.6645809328128163,0.31261038866188934,0.02473585560312672
238.87775551102206,7.595179303074903e-07,0.6692645960635928,0.2822326082731162,0.050253380968237484
258.71743486973946,6.460189950372754e-07,0.5625273688922581,0.2897714941534755,0.14928412182474585
278.55711422845695,5.579601666965318e-07,0.6934302346579118,0.2872652575426063,0.020882967451298164
298.39679358717433,4.861015507180745e-07,0.6563629670294874,0.3301134438521338,0.014898723390287664
318.2364729458918,4.284948747150576e-07,0.6224516850728484,0.3323129438963128,0.04658715666387744
338.07615230460925,3.800320658789254e-07,0.6366080759796606,0.3334107409433979,0.0313438684648306
357.9158316633267,3.386925390327119e-07,0.6935469891990106,0.30749877261399583,0.00012783647433286914
377.7555110220441,3.0436012449919107e-07,0.6684757200719665,0.22924024829135206,0.10350251978412339
397.59519038076155,2.743552480267666e-07,0.5727401484978145,0.2824967429226778,0.14583077679734593
417.434869739479,2.491369961496291e-07,0.6995861064248294,0.3012585283722449,0.0002113685469323755
437.2745490981964,2.269440833727359e-07,0.6236677744568367,0.2500418621947963,0.1271725881912257
457.11422845691385,2.076787469627814e-07,0.6565247461174697,0.3267304016604225,0.01781826802931523
476.9539078156313,1.9064231956656172e-07,0.603990055876663,0.24758947627429506,0.14925828947725636
496.7935871743487,1.7525211294310458e-07,0.6872100571552031,0.31341152473194284,0.00018742633947428799
516.6332665330661,1.6207030008730202e-07,0.5445729469998281,0.2903428657699895,0.16609398714646598
536.4729458917836,1.501649078718718e-07,0.674653657544569,0.23654282742562233,0.08958877439902034
556.312625250501,1.4026993349682907e-07,0.6570235793694976,0.3294104165482114,0.014401092576364447
576.1523046092185,1.3092918774384177e-07,0.5415027840039096,0.28869001953214224,0.17061510287515383
595.991983967936,1.2128117271282037e-07,0.6382813531430283,0.2207304105126058,0.14176983554702352
615.8316633266534,1.1438815393643981e-07,0.7050210175948357,0.2907721388675756,0.0048225958255200384
635.6713426853707,1.0787620883847088e-07,0.6170676435983353,0.3292989545092132,0.054092013287496785
