GeV,Pms1_s001,Pms1_s000,Pms2_s001,Pms2_s000
4028.2565130260523,0.027817031891910864,0.02335371101529292,0.3043411564803616,0.5320671998308908
4048.09619238477,0.029592865169609246,0.025084216132589623,0.3107385403681843,0.5428618614976679
4067.9358717434875,0.031233297678548304,0.026960773514297553,0.3166914418934685,0.5535731889089899
4087.7755511022046,0.03305496928924914,0.028867567953639255,0.3226170585992115,0.5638432305378505
4107.615230460922,0.0315958634162888,0.027348925999849266,0.32383976109167206,0.5749971530998993
4127.454909819639,0.0334485740754166,0.029225196264901235,0.3293849480978053,0.584463810457348
4147.294589178357,0.035318262352360935,0.031122877811566245,0.3346616727704928,0.5934576263012699
4167.134268537075,0.03720102041916865,0.03440966785497157,0.3396669819262429,0.6042866481908431
4186.973947895792,0.039093596494039796,0.036417936349857224,0.34439319387808826,0.6122529304165458
4206.813627254509,0.04399784529619474,0.041015097273061234,0.35782122495989316,0.6264830255907621
4226.653306613227,0.045914590140138156,0.04291647519806812,0.3616800718020144,0.6328467973065567
4246.492985971944,0.047861433776660835,0.044942025175969194,0.36527045287208154,0.6390814321337146
4266.332665330661,0.049800753682726275,0.0469620429987091,0.36855701126258705,0.6448119293437994
4286.172344689379,0.04780349726025056,0.04897386280518594,0.3684306585293608,0.6500401680771026
4306.0120240480965,0.04972649937919153,0.05097501454553768,0.37138865703559115,0.6547691702764157
4325.851703406814,0.05352560834691201,0.05296321255434216,0.37532113607867257,0.6590030281101914
4345.691382765532,0.055425875652256,0.054936345017289244,0.37755329270062754,0.6627468315180735
4365.531062124249,0.05731129139459714,0.05689246478914973,0.37949494693136293,0.6660065953088912
4385.370741482966,0.05918009676950411,0.05882977498322678,0.3811498330162078,0.6687891956835407
4405.210420841684,0.06103067081340822,0.06074662561306452,0.3825221842994012,0.6711022942062487
4425.050100200401,0.06164638373206194,0.0626415030537706,0.38293778907191867,0.6729542732297698
4444.889779559118,0.06345459185296523,0.06451302207887975,0.3838657506429984,0.6743541705747845
4464.729458917836,0.06527458888472239,0.06635991812383502,0.38454281974144766,0.6753116154852441
4484.5691382765535,0.06708464937893595,0.0681810405806678,0.38496332073592676,0.6758367683494428
4504.408817635271,0.068879016564503,0.06997534606354532,0.3851292569710939,0.6759402613834239
4524.248496993989,0.07064831406298287,0.07174189219275788,0.385047572569079,0.6756331419913851
4544.088176352706,0.0724043879538706,0.07349507782194734,0.38469512676621465,0.6749466729376672
4563.927855711423,0.0741194381340645,0.0752190518075739,0.3841319425374869,0.6738701920528496
4583.767535070141,0.07578018719489758,0.07691262074443553,0.38334714805508124,0.6724149253170492
4603.607214428858,0.07734126949909788,0.07857514530550266,0.38224158989878376,0.6705930236054475
