GeV,Pmm_s24004_s34004,Pmt_s24004_s34004,PmsP_s24004_s34004Pmm_s24002_s34002,Pmt_s24002_s34002,PmsP_s24002_s34002,Pmm_s24004_s34000,Pmt_s24004_s34000,PmsP_s24004_s34000,Pmm_s24002_s34000,Pmt_s24002_s34000,Pms_s24002_s34000
100.0,0.4625984750397059,0.4900419467545768,0.02883053842036091,0.6649004100229801,0.32372145879153835,0.002003920869987313,0.8412897654250703,0.13854588574704982,0.002236439790051801,0.8407496940577602,0.1439378785810384,0.00586889219420277
101.98039607921584,0.469198132575986,0.48442604107739334,0.027832526990303502,0.6705546228992249,0.3181492451946119,0.0017467044155981654,0.8453866424239673,0.13338546347448266,0.0026795168582685537,0.8452410944407049,0.1386276435533829,0.006502893066009156
103.96079215843169,0.47460673384370633,0.465551296176314,0.041559736439792064,0.6800716555130167,0.30723894855259937,0.003614344056331652,0.8523573360623501,0.12848831308377417,0.0012534838975888111,0.8543163324699775,0.1335961339515003,0.0029814513752617912
105.94118823764752,0.4699949727399213,0.4421828625701992,0.06941034082608478,0.6864358064890264,0.29217239281842494,0.012123441176832462,0.8490217609549099,0.12400068360208924,0.009388538174293515,0.8611775629246157,0.128897014755281,0.0008028913669595761
107.92158431686337,0.45075857610583153,0.43167164947904446,0.09987236857504571,0.6828818088166125,0.27802008727092925,0.030252303454891896,0.8258852481903842,0.11976733950438632,0.03734325708871127,0.8581850161531156,0.1244812366096123,0.008421847509212082
109.90198039607921,0.4262470573279329,0.4447039243217222,0.11233377918484062,0.6688527303479505,0.27225722588319523,0.050219908627497145,0.787575205458771,0.11581264848369127,0.08003150895921898,0.8427114542368851,0.1202719779488365,0.028756966775424157
111.88237647529506,0.42032447143029367,0.4787209162233235,0.08382645719936797,0.6538736285145456,0.2776596668071695,0.05955266804310687,0.7560406003924426,0.11172489627241607,0.11580755866564875,0.8192874853302363,0.11614677068387037,0.05681712969554781
113.8627725545109,0.46610549496497,0.4990595604432652,0.017967875952668754,0.6679944436846302,0.29041443093526487,0.032966992524646146,0.7943875959443127,0.10788757103798283,0.08099888704270135,0.826920868889208,0.1122307766504047,0.05230864185185208
115.84316863372675,0.5167674057036717,0.4508509431679227,0.01643733363007168,0.7091049230812752,0.2808807329778495,0.0014072328526808266,0.8718146921964129,0.10445129808890334,0.0072042644775798335,0.8706000997191256,0.10861152195381278,0.012062419000477555
117.82356471294258,0.4803013873014751,0.40362462759309914,0.09968542467287424,0.7109800565048724,0.25288707119882675,0.02764110020340139,0.84774111237298,0.10114856906212817,0.03521549998204285,0.8789568249054062,0.10516424353238724,0.007647359657376759
119.80396079215843,0.44053505355304584,0.4483047740474712,0.09558755507755816,0.6773084101887563,0.2543469350075617,0.06020215897984974,0.774964161342993,0.0980731971465898,0.11131472483827197,0.8392936747899958,0.10188683355807242,0.05072804225425512
121.78435687137427,0.5028040730813252,0.4750541416364998,0.006548099059200141,0.6975624932108769,0.2730506093772218,0.02132572310611965,0.8330504735322923,0.09499064986712542,0.05719504316911338,0.8519963524816833,0.09871671888580603,0.041169054938176956
123.76475295059012,0.5196431535737102,0.4022533914458862,0.06286449382085263,0.7327832530283783,0.25013561441177506,0.009121857503142825,0.8850055381991865,0.09198270083851073,0.0068885764990104,0.8955811441428773,0.09560809725835387,0.0005846167735015377
125.74514902980596,0.44481989610454237,0.42416331866737367,0.1150449052262517,0.6890130082153794,0.2379602384381183,0.0647856169541436,0.7786449612808074,0.08905970480548635,0.11591074165423425,0.8489696122269711,0.09267447914027209,0.05016097607900015
127.72554510902181,0.5254524425505476,0.45622835739946604,0.0028459992652567524,0.7140013976591355,0.2611041648206041,0.016968206629800246,0.8498665555372684,0.08641494280819954,0.047929069429088,0.8635371875803222,0.08991630955645351,0.03840201541567361
129.70594118823766,0.5074830690185155,0.3750482691552807,0.10215744855299058,0.7372847143757196,0.22757628882947592,0.027306228265210605,0.8656991172027746,0.08391600587568923,0.03488119535910247,0.8976498865273556,0.08730152793344227,0.007254446196680442
131.6863372674535,0.4789180375308498,0.4488258634451731,0.058483919605727776,0.6966250180736353,0.24144864635152688,0.05427709970754062,0.7912732029339371,0.08160677254387201,0.11219603084756524,0.8465844471244057,0.08482691884304636,0.06120339165646532
133.66673334666933,0.5561468289970051,0.3944066267764431,0.03556798336413951,0.7534003534091159,0.23747588684099055,0.001746923546437615,0.9047076271653473,0.07927707181997348,0.0010493889630057865,0.906339453850145,0.08241886142781914,0.003736799373420046
135.64712942588517,0.46896505296725827,0.4102254101147854,0.10705498035226602,0.7091935907518431,0.22195055087857662,0.06169420715589813,0.7956549691177066,0.0770875970698502,0.11275703502105812,0.8635137521767072,0.08010418749867798,0.04904895768004059
137.627525505101,0.5613695543919142,0.41871904180045716,0.00569920540886773,0.7469769189221989,0.24092944345607978,0.004602996682070964,0.8930771140658447,0.07482613960723081,0.01723794286313286,0.8946641765201429,0.0778308131510858,0.020059729540803917
139.60792158431687,0.4788907104264294,0.3823726152669379,0.12418959635992208,0.7243033252900092,0.21016701670407031,0.05845087411015272,0.8126264876194897,0.0727410754340721,0.1002569879865075,0.8791179106496694,0.07568228531373156,0.03778173676318928
141.5883176635327,0.5620313985558599,0.42242874785575396,0.0014853293969142734,0.7456661788263218,0.23679834585802453,0.010390980905682825,0.8818533117859132,0.07067226135167876,0.032720617232799766,0.8881713624740466,0.07356665882331456,0.03123151194405155
